series_id,method,serial_number,hardness_scale_raw,hardness_scale,hardness_level,applied_force_n,ball_diameter_mm,magnification,n_positions,excel_rows,picture_ids,manual_dimension_mean_from_individual_um,manual_dimension_sd_from_individual_um,manual_hardness_mean_from_individual,manual_hardness_sd_from_individual,manual_series_mean_dimension_um,manual_series_mean_hardness,manual_expanded_uncertainty,manual_relative_expanded_uncertainty,automatic_dimension_mean_from_individual_um,automatic_dimension_sd_from_individual_um,automatic_hardness_mean_from_individual,automatic_hardness_sd_from_individual,automatic_series_mean_dimension_um,automatic_series_mean_hardness,automatic_expanded_uncertainty,automatic_relative_expanded_uncertainty,manual_standard_uncertainty,automatic_standard_uncertainty,en_numerator,en_denominator,en,abs_en,en_classification
Micro-Vickers|SN=710-106|scale=HV 2|F=19.62N|mag=50X,Micro-Vickers,710-106,HV 2,HV 2,2,19.62,,50X,3,"51,52,53",710-106_708_HMV_2_1_50X,70.80566666666667,0.07583589739254891,739.6133333333333,1.584238092375407,70.80566666666667,739.6133333333333,9.52371847420822,1.2876618153009978,70.5585,0.19165659393821435,744.817,4.048391161930888,70.5585,744.817,9.803860953444477,1.3162778176981027,4.76185923710411,4.901930476722239,5.203666666666663,13.668098008517799,0.3807162242635222,0.3807162242635222,satisfactory screening result
Micro-Vickers|SN=710-404|scale=HV 0.05|F=0.4905N|mag=50X,Micro-Vickers,710-404,"HV 0,5",HV 0.05,0.05,0.4905,,50X,3,"3,4,5",710-404_39.6_HMV_0.05_1_50X,43.33583333333333,1.0385035307274304,49.41866666666667,2.3995000173647294,43.33583333333333,49.41866666666667,1.0646900322102812,2.1544288909931764,43.47233333333333,1.0312149792033336,49.10733333333334,2.355131701908267,43.47233333333333,49.10733333333334,1.053496418336961,2.1452934762023887,0.5323450161051406,0.5267482091684805,-0.31133333333333013,1.4978049165818408,-0.20785973519423864,0.20785973519423864,satisfactory screening result
Micro-Vickers|SN=710-655|scale=HV 0.05|F=0.4905N|mag=50X,Micro-Vickers,710-655,"HV 0,5",HV 0.05,0.05,0.4905,,50X,3,"9,10,11",710-655_197_HMV_0.05_1_50X,20.849166666666665,0.09046316008924961,214.576,3.0204653614964676,20.849166666666665,214.576,4.214523247419043,1.9641167919147733,20.885666666666665,0.14536964378209621,212.53233333333333,2.96463460367941,20.885666666666665,212.53233333333333,4.187087061376156,1.9700941478909824,2.1072616237095216,2.093543530688078,-2.0436666666666667,5.940867298852851,-0.34400139977226685,0.34400139977226685,satisfactory screening result
Micro-Vickers|SN=711-081|scale=HV 0.05|F=0.4905N|mag=50X,Micro-Vickers,711-081,"HV 0,5",HV 0.05,0.05,0.4905,,50X,3,"6,7,8",711-081_102_HMV_0.05_1_50X,28.764166666666664,0.27596799331323374,112.06099999999999,2.132721500805953,28.764166666666664,112.06099999999999,1.9573838084939867,1.7467127800876192,28.83066666666667,0.29973168556783253,111.551,2.2989902131153115,28.83066666666667,111.551,1.9568708117116997,1.7542386995290942,0.9786919042469934,0.9784354058558499,-0.5099999999999909,2.767796009008545,-0.1842621343263944,0.1842621343263944,satisfactory screening result
Micro-Vickers|SN=711-081|scale=HV 0.5|F=4.905N|mag=50X,Micro-Vickers,711-081,"HV 0,5",HV 0.5,0.5,4.905,,50X,3,"12,13,14",711-081_102_HMV_0.5_1_50X,93.89833333333333,0.6848872778299605,105.15033333333334,1.5429621943953555,93.89833333333333,105.15033333333334,1.6827683472631627,1.60034523326586,94.04216666666666,0.6129588757276726,104.827,1.3730608143851444,94.04216666666666,104.827,1.604722754804343,1.5308296095513017,0.8413841736315814,0.8023613774021715,-0.3233333333333377,2.3252622282954745,-0.13905241714193933,0.13905241714193933,satisfactory screening result
Micro-Vickers|SN=711-081|scale=HV 1|F=9.81N|mag=20X,Micro-Vickers,711-081,HV 1,HV 1,1,9.81,,20X,3,"27,28,29",711-081_102_HMV_1_1_20X,133.86316666666667,0.384196022016535,103.47533333333332,0.5805259109922082,133.86316666666667,103.47533333333332,1.334813531007623,1.2899823445919059,133.99066666666667,0.4664347042548717,103.26933333333334,0.7210758166332722,133.99066666666667,103.26933333333334,1.395568231559687,1.3513868895183663,0.6674067655038115,0.6977841157798435,-0.20599999999998886,1.931149360225581,-0.10667222548541022,0.10667222548541022,satisfactory screening result
Micro-Vickers|SN=711-081|scale=HV 2|F=19.62N|mag=20X,Micro-Vickers,711-081,HV 2,HV 2,2,19.62,,20X,3,"42,43,44",711-081_102_HMV_2_1_20X,189.31566666666666,1.506458623173356,103.472,1.6567018440262578,189.31566666666666,103.472,2.6369649558323833,2.5484816721744856,189.65833333333333,1.455955900202105,103.097,1.5905379593081055,189.65833333333333,103.097,2.556049480368226,2.4792665939534864,1.3184824779161917,1.278024740184113,-0.375,3.672461453082763,-0.10211135087210102,0.10211135087210102,satisfactory screening result
Micro-Vickers|SN=711-246|scale=HV 0.5|F=4.905N|mag=50X,Micro-Vickers,711-246,"HV 0,5",HV 0.5,0.5,4.905,,50X,3,"18,19,20",711-246_502_HMV_0.5_1_50X,42.603,0.2510717029057631,510.7746666666667,5.992215310995867,42.603,510.7746666666667,7.755928484351144,1.518463813987997,42.79433333333333,0.3868463303862852,506.258,9.217701882790537,42.79433333333333,506.258,8.00590290008662,1.5813879287016936,3.877964242175572,4.00295145004331,-4.516666666666708,11.146699417315638,-0.405202158735022,0.405202158735022,satisfactory screening result
Micro-Vickers|SN=711-246|scale=HV 1|F=9.81N|mag=50X,Micro-Vickers,711-246,HV 1,HV 1,1,9.81,,50X,3,"33,34,35",711-246_502_HMV_1_1_50X; 711-246_502_HMV_1_3_50X,60.518,0.4121701711672004,506.26866666666666,6.909359907642186,60.518,506.26866666666666,7.448952710080629,1.471343814169939,60.276999999999994,0.5592139572650175,510.36499999999995,9.401648366111138,60.276999999999994,510.36499999999995,8.069913205250547,1.5812042764003307,3.7244763550403146,4.0349566026252734,4.096333333333291,10.982276431473336,0.37299492130738005,0.37299492130738005,satisfactory screening result
Micro-Vickers|SN=711-246|scale=HV 2|F=19.62N|mag=50X,Micro-Vickers,711-246,HV 2,HV 2,2,19.62,,50X,3,"48,49,50",711-246_502_HMV_2_1_50X,84.92666666666666,0.22054780283043993,514.112,2.67601849769391,84.92666666666666,514.112,6.582756185981303,1.2804128645083763,84.86416666666668,0.2616420901409641,514.842,3.2052812669093114,84.86416666666668,514.842,6.684863018862199,1.2984300074318331,3.2913780929906515,3.3424315094310995,0.7300000000000182,9.38190133102169,0.07780938791012858,0.07780938791012858,satisfactory screening result
