pair_mean,difference,manual,automatic,method,representation,source_index,series_id,magnification,hardness_scale,hardness_level,applied_force_n,ball_diameter_mm,serial_number
2219.79675,1.656435437163309,2201.4120000000003,2238.1814999999997,Brinell,relative_percent,132,Brinell|SN=812-006|scale=HBW 10/500|F=4905N|ball=10mm|mag=20X,20X,HBW 10/500,10,4905.0,10.0,812-006
2218.1002500000004,0.8895224640996329,2208.235,2227.9655000000002,Brinell,relative_percent,133,Brinell|SN=812-006|scale=HBW 10/500|F=4905N|ball=10mm|mag=20X,20X,HBW 10/500,10,4905.0,10.0,812-006
2218.2655,1.669006708169069,2199.754,2236.777,Brinell,relative_percent,134,Brinell|SN=812-006|scale=HBW 10/500|F=4905N|ball=10mm|mag=20X,20X,HBW 10/500,10,4905.0,10.0,812-006
1699.9185,1.5170139039018642,1687.0245,1712.8125,Brinell,relative_percent,135,Brinell|SN=810-202|scale=HBW 10/500|F=4905N|ball=10mm|mag=20X,20X,HBW 10/500,10,4905.0,10.0,810-202
1691.926,0.8349064911822506,1684.8629999999998,1698.989,Brinell,relative_percent,136,Brinell|SN=810-202|scale=HBW 10/500|F=4905N|ball=10mm|mag=20X,20X,HBW 10/500,10,4905.0,10.0,810-202
1703.24225,1.9389197279482697,1686.73,1719.7545,Brinell,relative_percent,137,Brinell|SN=810-202|scale=HBW 10/500|F=4905N|ball=10mm|mag=20X,20X,HBW 10/500,10,4905.0,10.0,810-202
1218.1195,2.10611520462485,1205.292,1230.9470000000001,Brinell,relative_percent,138,Brinell|SN=8301-50DW|scale=HBW 10/500|F=4905N|ball=10mm|mag=10X,10X,HBW 10/500,10,4905.0,10.0,8301-50DW
1233.5887500000001,4.9838732721906,1202.8485,1264.3290000000002,Brinell,relative_percent,139,Brinell|SN=8301-50DW|scale=HBW 10/500|F=4905N|ball=10mm|mag=10X,10X,HBW 10/500,10,4905.0,10.0,8301-50DW
1214.7179999999998,1.6031704477911692,1204.981,1224.455,Brinell,relative_percent,140,Brinell|SN=8301-50DW|scale=HBW 10/500|F=4905N|ball=10mm|mag=10X,10X,HBW 10/500,10,4905.0,10.0,8301-50DW
4842.12175,0.40983066978849186,4832.199500000001,4852.044,Brinell,relative_percent,141,Brinell|SN=812-006|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,20X,HBW 10/3000,10,29430.0,10.0,812-006
4865.60525,0.6113627898605069,4850.732,4880.478499999999,Brinell,relative_percent,142,Brinell|SN=812-006|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,20X,HBW 10/3000,10,29430.0,10.0,812-006
4845.0905,0.233638566709945,4839.4305,4850.7505,Brinell,relative_percent,143,Brinell|SN=812-006|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,20X,HBW 10/3000,10,29430.0,10.0,812-006
